,Allpowers,Power Name,Status,Type,Store,Xats1,Xats2,Days1,Days2,Hug,Group,Game,Epic,Limited,Unlimited,Everypower
399,,Aprincess,Limited,User Power,500 xats,500,500,38,38,,,,,1,,1
398,,Summerland,Limited,User Power,250 xats,300,350,23,27,,,,,1,,1
397,,Nameflag,Unlimited,User Power,12000 xats,11900,11950,915,919,,,,1,,1,1
396,,Worm,Limited,User Power,240 xats,180,220,14,17,,,,,1,,1
395,,Tooth,Limited,User Power,230 xats,275,300,21,23,1,,,,1,,1
394,,Hangjinx,Unlimited,User Power,300 xats,260,280,20,22,1,,,,,1,1
393,,Diva,Limited,User Power,250 xats,175,200,13,15,1,,,,1,,1
392,,Animegirl,Limited,User Power,299 xats,280,320,22,25,,,,,1,,1
391,1,Chores,Limited,User Power,200 xats,200,240,15,18,,,,,1,,1
390,,Namewave,Unlimited,User Power,25000 xats,24300,24500,1869,1885,,,,1,,,1
389,,Koala,Limited,User Power,250 xats,170,200,13,15,,,,,1,,1
388,,Mom,Limited,User Power,250 xats,210,240,16,18,,,,,1,,1
387,,Jumblejinx,Unlimited,User Power,300 xats,220,270,17,21,,,,,,1,1
386,,Earthday,Limited,User Power,250 xats,300,350,23,27,,,,,1,,1
385,,Onion,Limited,User Power,200 xats,250,300,19,23,,,,,1,,1
384,,Songkran,Unlimited,User Power,200 xats,140,170,11,13,,,,,,1,1
382,,Fools,Limited,User Power,300 xats,220,270,17,21,,,,,1,,1
381,,Easterland,Unlimited,User Power,250 xats,170,210,13,16,,,,,,1,1
380,,Ebunny,Limited,User Power,450 xats,250,300,19,23,,,,,1,,1
379,,Patrick,Limited,User Power,300 xats,220,290,17,22,,,,,1,,1
378,,Namegrad,Unlimited,User Power,10000 xats,9000,9200,692,708,,,,1,,1,1
377,,Caterpillar,Limited,User Power,299 xats,140,180,11,14,,,,,1,,1
376,,Mining,Limited,User Power,222 xats,140,190,11,15,,,,,1,,1
375,,Lovehug,Unlimited,User Power,500 xats,390,450,30,35,1,,,,,1,1
374,,Lovemix,Limited,User Power,300 xats,400,450,31,35,,,,,1,,1
373,,Paints,Limited,User Power,240 xats,150,200,12,15,,,,,1,,1
372,,Ricebowl,Limited,User Power,230 xats,160,200,12,15,,,,,1,,1
371,,Electricity,Limited,User Power,220 xats,220,270,17,21,,,,,1,,1
370,,Masks,Limited,User Power,240 xats,310,340,24,26,,,,,1,,1
369,1,Fireworkshug,Limited,User Power,300 xats,200,250,15,19,1,,,,1,,1
368,,Ornaments,Limited,User Power,250 xats,180,220,14,17,,,,,1,,1
367,,Sleighhug,Limited,User Power,500 xats,850,950,65,73,1,,,,1,,1
366,,Choirhug,Unlimited,User Power,900 xats,700,750,54,58,1,,,,,1,1
365,,Beautifly,Limited,User Power,232 xats,300,350,23,27,,,,,1,,1
364,,Tigers,Limited,User Power,42 xats,150,175,12,13,,,,,1,,1
363,,Witch,Limited,User Power,250 xats,200,250,15,19,,,,,1,,1
362,,Allhallows,Limited,User Power,400 xats,250,300,19,23,,,,,1,,1
361,,Kstar,Limited,User Power,232 xats,300,325,23,25,,,,,1,,1
360,1,Ranklock,Unlimited,User Power,200 xats,160,180,12,14,,,,,,1,1
359,,Roosters,Limited,User Power,222 xats,210,240,16,18,,,,,1,,1
358,,Kandle,Limited,User Power,200 xats,110,140,8,11,,,,,1,,1
357,,Glob,Limited,User Power,300 xats,200,260,15,20,,,,,1,,1
356,,Precious,Unlimited,User Power,250 xats,190,240,15,18,,,,,,1,1
355,,Big,Limited,User Power,5000 xats,10900,11300,838,869,,,,1,1,,1
354,,Reaper,Limited,User Power,200 xats,150,170,12,13,,,,,1,,1
353,,Planets,Limited,User Power,275 xats,150,175,12,13,,,,,1,,1
352,,Lions,Limited,User Power,275 xats,150,180,12,14,,,,,1,,1
350,1,Transport,Limited,User Power,250 xats,210,250,16,19,,,,,1,,1
349,,Me,Unlimited,User Power,200 xats,160,170,12,13,,,,,,1,1
348,,Poke,Limited,User Power,234 xats,250,300,19,23,,,,,1,,1
347,,BalloonFX,Unlimited,User Power,250 xats,180,220,14,17,,,,,,1,1
346,,Microbe,Limited,User Power,250 xats,140,180,11,14,,,,,1,,1
345,,Shells,Limited,User Power,250 xats,180,220,14,17,,,,,1,,1
344,1,Nick,Unlimited,User Power,200 xats,150,175,12,13,,,,,,1,1
343,1,Vacation,Limited,User Power,250 xats,210,250,16,19,,,,,1,,1
342,1,Aquatic,Limited,User Power,250 xats,170,210,13,16,,,,,1,,1
341,,Ceebear,Limited,User Power,300 xats,190,240,15,18,,,,,1,,1
340,,Pets,Unlimited,User Power,220 xats,180,200,14,15,,,,,,1,1
339,,Redcard,Unlimited,User Power,5000 xats,3900,4200,300,323,,,,1,,1,1
338,,Gothic,Limited,User Power,240 xats,130,180,10,14,,,,,1,,1
337,,Aliblue,Limited,User Power,250 xats,400,450,31,35,,,,,1,,1
336,,Shinobi,Limited,User Power,300 xats,200,250,15,19,,,,,1,,1
335,,Floral,Limited,User Power,200 xats,180,220,14,17,,,,,1,,1
334,,Eco,Limited,User Power,232 xats,600,650,46,50,,,,,,1,1
333,,Mobilebeta,Unlimited,User Power,200 xats,140,170,11,13,,,,,,1,1
332,,Easterlove,Unlimited,User Power,222 xats,150,180,12,14,,,,,,1,1
331,,Beastie,Limited,User Power,250 xats,140,190,11,15,,,,,1,,1
330,,Clouds,Limited,User Power,250 xats,230,270,18,21,,,,,1,,1
329,,TV,Limited,User Power,275 xats,400,450,31,35,,,,,1,,1
328,,Supercycle,Unlimited,User Power,500 xats,380,430,29,33,,,,,,1,1
327,1,Birthday,Limited,User Power,220 xats,180,220,14,17,,,,,1,,1
326,1,Oids,Unlimited,User Power,250 xats,180,210,14,16,,,,,,1,1
325,1,ValFX,Limited,User Power,300 xats,180,230,14,18,,,,,1,,1
324,,Amore,Limited,User Power,230 xats,490,550,38,42,,,,,1,,1
323,1,Offset,Unlimited,User Power,200 xats,150,175,12,13,,,,,,1,1
322,,Jewelry,Limited,User Power,260 xats,200,240,15,18,,,,,1,,1
321,,Retro,Limited,User Power,100 xats,160,200,12,15,,,,,1,,1
320,,Egyptian,Limited,User Power,270 xats,280,320,22,25,,,,,1,,1
